response_id,accuracy,version
1,0.652778,v1
2,0.694444,v1
3,0.638889,v1
4,0.666667,v1
5,0.652778,v1
6,0.625,v1
7,0.638889,v1
8,0.611111,v1
9,0.625,v1
10,0.652778,v1
1,0.944444,v2
2,0.972222,v2
3,0.930556,v2
4,0.958333,v2
5,0.972222,v2
6,0.916667,v2
7,0.958333,v2
8,0.986111,v2
9,0.944444,v2
10,0.972222,v2
1,0.916667,v3
2,0.958333,v3
3,0.888889,v3
4,0.902778,v3
5,0.930556,v3
6,0.930556,v3
7,0.875,v3
8,0.930556,v3
9,0.875,v3
10,0.958333,v3
1,0.902778,v4
2,0.888889,v4
3,0.944444,v4
4,0.930556,v4
5,0.930556,v4
6,0.888889,v4
7,0.888889,v4
8,0.875,v4
9,0.833333,v4
10,0.958333,v4
