response_id,accuracy,version
1,0.680556,v1
2,0.694444,v1
3,0.638889,v1
4,0.625,v1
5,0.680556,v1
6,0.708333,v1
7,0.722222,v1
8,0.722222,v1
9,0.694444,v1
10,0.638889,v1
1,0.236111,v2
2,0.222222,v2
3,0.263889,v2
4,0.138889,v2
5,0.277778,v2
6,0.305556,v2
7,0.180556,v2
8,0.25,v2
9,0.194444,v2
10,0.208333,v2
1,0.861111,v3
2,0.888889,v3
3,0.847222,v3
4,0.861111,v3
5,0.805556,v3
6,0.902778,v3
7,0.875,v3
8,0.777778,v3
9,0.902778,v3
10,0.902778,v3
1,0.541667,v4
2,0.513889,v4
3,0.527778,v4
4,0.513889,v4
5,0.5,v4
6,0.569444,v4
7,0.513889,v4
8,0.486111,v4
9,0.541667,v4
10,0.541667,v4
