response_id,accuracy,version
1,0.819444,v1
2,0.819444,v1
3,0.763889,v1
4,0.777778,v1
5,0.805556,v1
6,0.833333,v1
7,0.819444,v1
8,0.791667,v1
9,0.791667,v1
10,0.847222,v1
1,0.944444,v2
2,0.958333,v2
3,0.930556,v2
4,0.916667,v2
5,0.958333,v2
6,0.972222,v2
7,0.958333,v2
8,0.930556,v2
9,0.972222,v2
10,0.958333,v2
1,1.0,v3
2,0.972222,v3
3,0.986111,v3
4,1.0,v3
5,1.0,v3
6,1.0,v3
7,1.0,v3
8,0.958333,v3
9,1.0,v3
10,1.0,v3
1,0.944444,v4
2,0.986111,v4
3,0.916667,v4
4,0.944444,v4
5,0.972222,v4
6,0.986111,v4
7,0.986111,v4
8,0.902778,v4
9,0.986111,v4
10,0.958333,v4
