response_id,accuracy,version
1,0.902778,v1
2,0.902778,v1
3,0.958333,v1
4,0.888889,v1
5,0.972222,v1
6,0.902778,v1
7,0.847222,v1
8,0.861111,v1
9,0.861111,v1
10,0.888889,v1
1,0.986111,v2
2,0.944444,v2
3,1.0,v2
4,0.916667,v2
5,1.0,v2
6,1.0,v2
7,0.972222,v2
8,1.0,v2
9,1.0,v2
10,0.944444,v2
1,0.986111,v3
2,0.986111,v3
3,1.0,v3
4,1.0,v3
5,0.986111,v3
6,1.0,v3
7,0.888889,v3
8,0.986111,v3
9,1.0,v3
10,1.0,v3
1,0.972222,v4
2,1.0,v4
3,0.986111,v4
4,1.0,v4
5,0.902778,v4
6,0.888889,v4
7,0.930556,v4
8,0.958333,v4
9,0.972222,v4
10,1.0,v4
