response_id,accuracy,version
1,0.666667,v1
2,0.722222,v1
3,0.722222,v1
4,0.569444,v1
5,0.652778,v1
6,0.611111,v1
7,0.652778,v1
8,0.666667,v1
9,0.652778,v1
10,0.736111,v1
1,0.777778,v2
2,0.75,v2
3,0.736111,v2
4,0.791667,v2
5,0.75,v2
6,0.791667,v2
7,0.708333,v2
8,0.736111,v2
9,0.847222,v2
10,0.722222,v2
1,0.925926,v3
2,0.916667,v3
3,0.930556,v3
4,0.902778,v3
5,0.930556,v3
6,0.916667,v3
7,0.944444,v3
8,0.930556,v3
9,0.986111,v3
10,0.958333,v3
1,0.888889,v4
2,0.930556,v4
3,0.888889,v4
4,0.930556,v4
5,0.847222,v4
6,0.875,v4
7,0.930556,v4
8,0.916667,v4
9,0.875,v4
10,0.875,v4
1,0.851852,v5
2,0.791667,v5
3,0.875,v5
4,0.805556,v5
5,0.902778,v5
6,0.861111,v5
7,0.847222,v5
8,0.819444,v5
9,0.819444,v5
10,0.888889,v5
